Epoca,Custo
510,0.100069627166
511,0.0996846184134
512,0.0992747992277
513,0.0988768339157
514,0.0984903872013
515,0.0980860069394
516,0.0977114289999
517,0.097308114171
518,0.0969241708517
519,0.0965452566743
520,0.0961511284113
521,0.0957797244191
522,0.0953894034028
523,0.0950204133987
524,0.0946366563439
525,0.0942597836256
526,0.0938942804933
527,0.0935078039765
528,0.0931524559855
529,0.092776030302
530,0.092407360673
531,0.0920446589589
532,0.0916680544615
533,0.0913239717484
534,0.090946957469
535,0.0905979350209
536,0.0902369022369
537,0.0898716896772
538,0.0895285233855
539,0.0891631245613
540,0.0888268202543
541,0.0884671658278
542,0.0881186500192
543,0.0877768024802
544,0.0874156802893
545,0.0870931372046
546,0.0867368802428
547,0.086395919323
548,0.0860575661063
549,0.0857108384371
550,0.0853905826807
551,0.0850380659103
552,0.0847160220146
553,0.0843772739172
554,0.0840435773134
555,0.0837197080255
556,0.0833808332682
557,0.0830646306276
558,0.0827332288027
559,0.0824093967676
560,0.0820920616388
561,0.0817538499832
562,0.0814476758242
563,0.0811236351728
564,0.0808080211282
565,0.080493927002
566,0.0801690667868
567,0.0798683091998
568,0.0795443579555
569,0.0792453512549
570,0.0789343938231
571,0.0786171928048
572,0.0783199816942
573,0.0780019536614
574,0.0777092054486
575,0.0774025991559
576,0.0770996361971
577,0.0768021196127
578,0.076494410634
579,0.0762095600367
580,0.0759059488773
581,0.075605429709
582,0.0753203630447
583,0.0750173553824
584,0.0747384876013
585,0.0744397193193
586,0.0741491094232
587,0.073867239058
588,0.0735706239939
589,0.0732985660434
590,0.0730038881302
591,0.0727219134569
592,0.0724396705627
593,0.0721505582333
594,0.0718852132559
595,0.0715967863798
596,0.0713206902146
597,0.0710477009416
598,0.070762552321
599,0.0705033987761
600,0.0702205076814
601,0.0699530541897
602,0.0696841031313
603,0.0694023817778
604,0.0691483169794
605,0.0688744336367
606,0.0686091333628
607,0.0683486461639
608,0.0680719017982
609,0.0678241625428
610,0.0675538405776
611,0.0672941505909
612,0.0670357123017
613,0.0667691677809
614,0.0665242671967
615,0.0662581771612
616,0.0660055726767
617,0.0657536238432
618,0.0654932707548
619,0.0652505904436
620,0.0649937689304
621,0.0647452324629
622,0.0644994229078
623,0.0642433390021
624,0.064004778862
625,0.0637546032667
626,0.063508361578
627,0.0632660165429
628,0.0630159601569
629,0.0627851486206
630,0.0625363141298
631,0.0622961819172
632,0.0620615854859
633,0.061816431582
634,0.0615914277732
635,0.0613479427993
636,0.0611100122333
637,0.0608803853393
638,0.0606405027211
639,0.0604164078832
640,0.0601809024811
641,0.0599480383098
642,0.0597252137959
643,0.0594860799611
644,0.0592693090439
645,0.0590366497636
646,0.0588078573346
647,0.0585910901427
648,0.0583599694073
649,0.0581454224885
650,0.0579156205058
651,0.0576897263527
652,0.0574829094112
653,0.0572537891567
654,0.057041157037
655,0.056818574667
656,0.0565991327167
657,0.0563921108842
658,0.0561694093049
659,0.0559626743197
660,0.0557435341179
661,0.0555299296975
662,0.0553240068257
663,0.0551080591977
664,0.0548988468945
665,0.0546921566129
666,0.0544782504439
667,0.054280243814
668,0.0540672317147
669,0.0538593307137
670,0.0536595210433
671,0.0534489043057
672,0.0532551892102
673,0.0530467443168
674,0.0528500601649
675,0.0526485554874
676,0.0524416267872
677,0.0522513389587
678,0.0520479492843
679,0.0518476590514
680,0.0516571030021
681,0.0514543168247
682,0.0512669607997
683,0.051067493856
684,0.0508746802807
685,0.0506867170334
686,0.0504873283207
687,0.0503006875515
688,0.0501107461751
689,0.04991427809
690,0.0497331246734
691,0.0495373234153
692,0.0493539460003
693,0.0491661131382
694,0.0489761605859
695,0.0488009303808
696,0.0486078932881
697,0.0484274812043
698,0.0482431054115
699,0.0480596683919
700,0.0478837713599
701,0.0476993322372
702,0.0475192293525
