x,y,"f(x,y)","f*(x,y)"
-12.33,-32.71,1.3417628176352634,2
-28.71,16.22,2.2320495417955297,2
14.1,33.85,2.300117600846709,2
-6.34,31.08,0.07808223341294274,2
-9.77,-30.92,2.0414782732006325,2
1.56,-39.5,3.4603135062516555,2
48.38,36.12,2.0678180420842924,2
-49.2,22.98,3.040130152032173,2
-41.35,-21.7,1.5942478219974285,2
-10.66,2.48,3.3642452088242507,2
36.47,15.77,1.5118761199129693,2
-31.29,19.18,2.295022138567052,2
46.63,-0.83,1.5351903703704906,2
46.17,32.71,2.677411913795596,2
-47.66,14.37,3.3764492792534466,2
-9.67,31.17,1.9927654711689469,2
-36.47,-31.52,1.6887231327483143,2
22.52,-31.28,2.418284352893246,2
-24.13,-32.16,1.9475011180046657,2
16.89,44.92,1.9337686616256675,2
43.08,9.92,0.9282305095989747,2
14.55,21.13,1.8676819530846491,2
1.17,46.3,1.542002501046568,2
13.65,8.13,1.2067524967803922,2
-17.13,26.94,1.4280110243973678,2
36.72,43.18,1.2991013596651821,2
1.44,21.0,1.9485031086192266,2
-29.28,-44.51,1.3364819912214703,2
-11.86,-16.58,2.383108692092829,2
-15.87,0.22,0.8656651963987878,2
-27.53,-37.58,3.4918255911664566,2
-44.72,49.39,4.050591273504915,2
-27.19,-8.81,2.083150180633524,2
-28.77,37.52,2.6116258333958675,2
46.07,-33.61,1.6303909416430158,2
6.57,48.45,3.476124238133894,2
36.37,32.17,2.147065230504694,2
46.12,-43.44,2.0144453474707236,2
-15.96,46.08,3.377611644150841,2
49.09,-28.94,0.8697366794952917,2
27.69,25.23,0.7583963068429547,2
27.16,-49.21,2.033692755886659,2
-16.11,-2.01,3.203064654065674,2
33.53,-19.39,2.035685432515616,2
-33.65,34.18,2.1851160682140223,2
-16.13,40.09,0.23810811471224524,2
16.24,7.83,1.6233655194496064,2
-17.34,46.26,1.368397793791605,2
-15.97,-27.01,3.373012972369942,2
38.65,-45.37,2.0038930837738835,2
34.81,49.8,2.922227002600174,2
-1.63,-17.12,1.4717059151667722,2
10.52,37.14,0.3088543569958264,2
-45.51,-14.24,2.2602660335298452,2
-34.04,-9.82,1.7731607373008411,2
-25.47,-5.09,3.9324515010238477,2
35.49,26.9,0.3131932402841118,2
37.21,-35.34,3.448448208310884,2
48.44,-47.89,2.0995127445897874,2
-19.29,-14.86,1.9484734786356213,2
-40.09,22.09,0.06524667984237031,2
-43.88,48.4,1.003645314212329,2
-12.53,-33.1,2.806410187918011,2
5.92,35.2,0.30636537053028756,2
-3.88,-2.9,3.964561544598534,2
-12.38,14.52,2.4762881166555406,2
-9.5,21.75,1.5997528940207733,2
-28.41,-33.29,0.7109787168904527,2
14.85,17.22,1.4186091539427779,2
-25.84,20.97,1.5421740124436774,2
-9.58,20.85,2.2336010395078176,2
0.18,6.22,2.146247433976221,2
7.29,-18.44,2.007713076096527,2
44.94,25.02,0.01841763597599555,2
32.39,-1.17,2.908069586088271,2
-2.75,36.48,1.2913279072698343,2
25.08,45.24,3.803678526949784,2
6.4,18.25,3.830526957449438,2
-45.15,-7.82,2.5758945114149947,2
49.95,-4.85,3.6622262069681826,2
6.61,17.54,2.970191681595233,2
-26.57,40.78,1.972633079378038,2
5.66,-30.12,0.16953138220019315,2
-25.54,-1.0,0.0912061411183358,2
45.21,37.04,1.7705659736136887,2
-47.83,41.03,0.7249126747834205,2
-49.46,-45.39,2.5904857824209158,2
-46.68,15.03,3.6466022206810518,2
13.09,49.31,3.7107508147439585,2
-39.19,42.22,2.7864063274972253,2
5.04,10.69,2.2582207230575935,2
-44.92,38.31,2.035711285004146,2
-4.57,-48.48,2.528124342623886,2
38.52,9.03,2.3413903297090712,2
-18.59,8.15,2.411585048602877,2
15.12,2.67,1.2238536088875098,2
8.78,7.77,3.4068933469878218,2
-38.7,28.82,2.089076805119723,2
1.7,11.55,0.32183159688644536,2
-6.8,-29.39,2.6219151082923777,2
-28.65,1.6,2.920834983851806,2
-12.65,32.49,2.6387700645375016,2
-9.26,-24.25,1.5302398399369832,2
-44.81,33.57,0.6758664284864713,2
28.67,-10.55,1.162748746049484,2
-19.59,13.96,2.1020823314078854,2
-32.92,3.59,3.5792698925488677,2
48.45,0.8,1.9955210895575948,2
25.32,-3.97,1.2544172205665571,2
-16.44,29.61,2.4961887711762634,2
27.04,19.08,2.069631894605597,2
36.93,0.52,2.608328875899791,2
-43.35,-1.08,2.161687154049048,2
-7.21,-30.44,1.8923676782984096,2
-44.64,-6.66,0.4073338753161062,2
6.84,6.35,1.1207739257586908,2
-30.28,-10.61,0.0060597254121621535,2
-7.56,47.5,1.2950653353753259,2
14.51,5.22,1.9822419757504752,2
-42.79,-12.5,3.672473836339893,2
27.91,38.39,3.4908845875444494,2
-24.71,21.04,2.5533705878665565,2
-30.96,-7.6,2.712328069018463,2
-41.03,30.33,1.9505493788028816,2
-3.81,33.14,2.7618691922511984,2
28.81,43.36,1.6483400047249406,2
33.09,-49.09,0.42222990702632535,2
-11.16,-24.58,0.9733631280582058,2
-0.02,49.14,1.9664210655632224,2
-35.3,22.67,0.7480477737604763,2
43.87,45.13,2.7509037486624273,2
-39.21,-47.53,2.912754912725284,2
-28.57,-39.02,1.289952432481498,2
40.72,32.94,2.682864581762765,2
41.96,-34.07,3.220429780149235,2
-1.85,-46.91,2.707462547104139,2
21.34,-8.12,2.5430567744506765,2
-31.74,14.76,1.1490031540558219,2
37.8,19.0,0.7435630428582445,2
48.3,-49.36,2.0876036249548364,2
-37.76,-20.53,0.07723906326021357,2
-23.61,-15.28,1.3116649341729474,2
18.59,-2.81,0.7202644671568195,2
4.99,12.85,1.5899282333557783,2
12.53,24.37,3.150239701848993,2
